platform_dir,platform,file,device,backend,model,precision,prompt_length,ttft_ms_median,decode_ms_median,throughput_median,total_ms_median
colab_t4,colab_t4,tinyllama_fp16_cuda.json,cuda,pytorch,tinyllama,fp16,1024,290.85218811035156,24.026752471923828,36.9715576199196,3462.120849609375
colab_t4,colab_t4,tinyllama_q4_cuda.json,cuda,pytorch,tinyllama,q4,32,68.5313949584961,39.76033592224121,22.9019853963437,5589.035400390625
colab_t4,colab_t4,tinyllama_q4_cuda.json,cuda,pytorch,tinyllama,q4,64,68.8799819946289,39.51456069946289,23.972243569996888,5339.56103515625
colab_t4,colab_t4,tinyllama_q4_cuda.json,cuda,pytorch,tinyllama,q4,128,75.86697387695312,39.48691177368164,23.79918003570093,5378.9931640625
colab_t4,colab_t4,tinyllama_q4_cuda.json,cuda,pytorch,tinyllama,q4,256,103.2081298828125,39.65459060668945,22.92091192433073,5587.50341796875
colab_t4,colab_t4,tinyllama_q4_cuda.json,cuda,pytorch,tinyllama,q4,512,173.0467071533203,39.338497161865234,22.713638511596915,5635.826416015625
colab_t4,colab_t4,tinyllama_q4_cuda.json,cuda,pytorch,tinyllama,q4,1024,394.1122741699219,39.40447998046875,22.110732648085627,5799.249267578125
colab_t4,colab_t4,tinyllama_q8_cuda.json,cuda,pytorch,tinyllama,q8,32,131.56166076660156,99.24478530883789,9.486576545521844,13492.75390625
colab_t4,colab_t4,tinyllama_q8_cuda.json,cuda,pytorch,tinyllama,q8,64,132.88692474365234,100.54681396484375,9.377196236259564,13650.22900390625
colab_t4,colab_t4,tinyllama_q8_cuda.json,cuda,pytorch,tinyllama,q8,128,134.17660522460938,100.86955261230469,9.303668609796542,13758.18798828125
colab_t4,colab_t4,tinyllama_q8_cuda.json,cuda,pytorch,tinyllama,q8,256,162.57740783691406,101.40201568603516,9.291088764730778,13776.6416015625
colab_t4,colab_t4,tinyllama_q8_cuda.json,cuda,pytorch,tinyllama,q8,512,237.34938049316406,101.19590759277344,9.219224806263334,13884.04248046875
colab_t4,colab_t4,tinyllama_q8_cuda.json,cuda,pytorch,tinyllama,q8,1024,465.8235626220703,101.18450927734375,9.133570666431787,14014.234375
